"LNR";"Family";"Genus";"Species";"AuthorYear";"Collection";"KatalogNrPers";"Specimens";"Specimenbased";"MaleCount";"FemaleCount";"JuvenileCount";"Leg";"Det";"Date";"Month";"Year";"Region";"Locality";"LatPrec";"LongPrec";"RadiusNew";"NotesF";"NotesonLoc";"NotesonSpecimen";"NotesonTube";"UTM10"
;"Thomisidae";"Xysticus";"erraticus";"(Blackwall, 1834)";"ZMUC";"JL05991";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Eutichuridae";"Cheiracanthium";"erraticum";"(Walckenaer, 1802)";"ZMUC";"JL05992";3;0;2;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Miturgidae";"Zora";"spinimana";"(Sundevall, 1833) ";"ZMUC";"JL05993";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Clubionidae";"Clubiona";"stagnatilis";"Kulczynski, 1897";"ZMUC";"JL05994";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Clubionidae";"Clubiona";"reclusa";"O. P.-Cambridge, 1863";"ZMUC";"JL05995";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Salticidae";"Neon";"reticulatus";"(Blackwall, 1853) ";"ZMUC";"JL05996";2;0;1;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Salticidae";"Euophrys";"frontalis";"(Walckenaer, 1802) ";"ZMUC";"JL05997";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Gnaphosidae";"Zelotes";"electus";"(C. L. Koch, 1839)";"ZMUC";"JL05998";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Araneidae";"Singa";"hamata";"(Clerck, 1757) ";"ZMUC";"JL05999";2;0;2;0;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Tetragnathidae";"Pachygnatha";"listeri";"Sundevall, 1830";"ZMUC";"JL06000";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
